participant_id,task_qns,task_time,variant,task_type,feedback_avg,feedback_scores
88314,89,45.349000000000004,C,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
74407,89,11.082,C,view finance info,6.714285714285714,"['7', '7', '7', '6', '7', '6', '7']"
23083,89,58.488,C,view finance info,3.4285714285714284,"['7', '6', '2', '2', '3', '2', '2']"
77207,89,6.259,C,view finance info,6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']"
27484,89,18.541,C,view finance info,5.571428571428571,"['6', '6', '6', '6', '5', '5', '5']"
52320,89,98.239,C,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
23773,89,4.317,C,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
86306,89,1.2270000000000003,C,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
11096,90,19.981,D,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
94531,90,39.167,D,view class info,2.4285714285714284,"['4', '2', '2', '2', '1', '2', '4']"
70610,90,29.526,D,view class info,2.2857142857142856,"['2', '2', '2', '2', '2', '4', '2']"
68221,90,0.6600000000000001,D,view class info,5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']"
47477,90,19.47,D,view class info,5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']"
51736,90,13.828,D,view class info,5.714285714285714,"['5', '5', '6', '6', '6', '6', '6']"
88314,90,20.814,D,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
74407,90,29.459999999999994,D,view class info,6.285714285714286,"['6', '6', '7', '7', '6', '6', '6']"
23083,90,26.698,D,view class info,2.142857142857143,"['5', '2', '1', '2', '1', '2', '2']"
77207,90,20.685000000000002,D,view class info,6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']"
27484,90,20.023,D,view class info,4.857142857142857,"['6', '6', '5', '5', '4', '4', '4']"
52320,90,85.409,D,view class info,5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']"
23773,90,0.9550000000000054,D,view class info,5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']"
86306,90,33.660000000000004,D,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
11096,91,13.959000000000001,D,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
94531,91,5.649000000000001,D,view personal info,2.4285714285714284,"['4', '2', '2', '2', '1', '2', '4']"
70610,91,2.022999999999996,D,view personal info,2.2857142857142856,"['2', '2', '2', '2', '2', '4', '2']"
68221,91,2.0310000000000006,D,view personal info,5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']"
47477,91,16.983999999999998,D,view personal info,5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']"
51736,91,1.9969999999999999,D,view personal info,5.714285714285714,"['5', '5', '6', '6', '6', '6', '6']"
88314,91,38.431000000000004,D,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
74407,91,22.242,D,view personal info,6.285714285714286,"['6', '6', '7', '7', '6', '6', '6']"
23083,91,24.177,D,view personal info,2.142857142857143,"['5', '2', '1', '2', '1', '2', '2']"
77207,91,2.7630000000000017,D,view personal info,6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']"
27484,91,17.887,D,view personal info,4.857142857142857,"['6', '6', '5', '5', '4', '4', '4']"
52320,91,35.045,D,view personal info,5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']"
23773,91,1.2600000000000016,D,view personal info,5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']"
86306,91,16.257,D,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
11096,92,21.68,D,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
94531,92,56.363,D,view finance info,2.4285714285714284,"['4', '2', '2', '2', '1', '2', '4']"
70610,92,1.0079999999999956,D,view finance info,2.2857142857142856,"['2', '2', '2', '2', '2', '4', '2']"
68221,92,0.8010000000000019,D,view finance info,5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']"
47477,92,38.21900000000001,D,view finance info,5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']"
51736,92,15.768999999999998,D,view finance info,5.714285714285714,"['5', '5', '6', '6', '6', '6', '6']"
88314,92,17.018,D,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
74407,92,16.356,D,view finance info,6.285714285714286,"['6', '6', '7', '7', '6', '6', '6']"
23083,92,19.989,D,view finance info,2.142857142857143,"['5', '2', '1', '2', '1', '2', '2']"
77207,92,0.7259999999999991,D,view finance info,6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']"
27484,92,23.485999999999997,D,view finance info,4.857142857142857,"['6', '6', '5', '5', '4', '4', '4']"
52320,92,35.001999999999995,D,view finance info,5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']"
23773,92,53.294,D,view finance info,5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']"
86306,92,37.378,D,view finance info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
